private|adj. 私人的
lonely|adj. 孤独的；寂寞的；偏僻的
Welsh|adj. 威尔士的；威尔士人的；威尔士语的；n. 威尔士语；威尔士人
roof|n. 屋顶；顶部；v. 给…盖顶
block|n. 块；街区；大楼；大厦；障碍物；v. 阻塞；阻碍
flat|adj. 平坦的；扁平的；平淡无味的；（说话）断然的；（轮胎）瘪了的；n. 公寓；平坦部分；adv. 直接地
desert|n. 沙漠；荒漠；v. 抛弃
polo|n. 马球；水球（运动）
Wayle|n. 威尔河
cut|v. 切；割；削减；n. 切；割；伤口；削减
row|n. 排；划船；吵闹；v. 划船；吵架
kick|n. 踢；踹；v. 踢；踹
towards|prep. 向；朝；关于
nearly|adv. 几乎；将近；差不多
sight|n. 看见；景象；视力；v. 看到；观测
retire|v. 退休；退役
company|n. 公司；陪伴
bicycle|n. 自行车；脚踏车
save|v. 保存；节省；拯救；prep. 除...之外；除了；conj. 若不是；除了
workshop|n. 车间；工场；研讨会
helper|n. 帮助者；助手；帮手
employ|v. 雇佣；使用
grandson|n. 孙子；外孙子
once|adv. 一次；曾经；conj. 一旦；一…便；n. 一次；adj. 从前的
temptation|n. 诱惑
article|n. 文章；物品；项目；条款；冠词
wrap|v. 包；缠绕；覆盖；穿外衣；遮蔽；n. 外套；围巾；包裹；包装材料
simply|adv. 简单地；仅仅；简直
arrest|v. 逮捕；拘留；阻止；吸引；n. 逮捕；拘捕
darkness|n. 黑暗；阴暗
explain|v. 解释；说明；阐明
coast|n. 海岸；海滨
storm|n. 暴风雨；雷暴雨
rock|n. 岩石；摇滚乐；v. （使）摇动；震撼；（使）摇晃
shore|n. 岸；滨
light|n. 光；灯；光线；adj. 轻的；浅的；明亮的；少量的；v. 点燃；照亮
ahead|adv. 提前；在前
cliff|n. 悬崖；峭壁
struggle|v. 斗争；挣扎；抗争；n. 斗争；奋斗；抗争
hospital|n. 医院
station|n. 车站；站
most|adj. 最多的；大多数的；adv. 最；pron. 大部分
while|conj. 当…的时候；尽管；然而；n. 一会儿；一段时间
regret|n. 遗憾；痛惜；v. 懊悔；惋惜
far|adv. 远；极；adj. 较远的；遥远的
rush|v. 冲；赶忙做；催促；n. 冲；匆忙
act|v. 行动；表现；演戏；n. 行动；装模作样；（戏）幕；法令
straight|adj. 直的；笔直的；正直的；率直的；adv. 直；径直；直接
fright|n. 惊吓；恐怖；惊骇
battered|adj. 破旧不堪的；受虐待的；v. 连续猛击；殴打；严重破坏；“batter”的过去式和过去分词
shortly|adv. 不久；马上；简短地
afterwards|adv. 后来；然后
record|n. 记录；唱片；v. 记录；录制
strong|adj. 强壮的；强烈的
swimmer|n. 游泳运动员；游泳者
succeed|v. 成功；继承
train|n. 火车；列车；列；队；v. 训练；培训
anxiously|adv. 焦急地；忧虑地
intend|v. 打算；计划
solid|n. 固体；立体图形；adj. 固体的；坚固的；可靠的
Olympic|adj. 奥林匹克的
hold|v. 举行；持有；保留；抓住；容纳；n. 拿；持；控制
government|n. 政府；治理；统治
immense|adj. 巨大的
stadium|n. 体育场；运动场
standard|n. 标准；adj. 标准的；规范的；权威的
capital|n. 首都；资本；省会
fantastic|adj. 奇异的；极好的；奇妙的
design|v. 设计；计划；谋划；构思；n. 设计；图案；花样；企图；图谋
except|conj. 除了；只是；v. 不计；把…除外；prep. 除了；除外
Mediterranean|n. 地中海；adj. 地中海的
continually|adv. 连续不断地
bitterly|adv. 痛苦地；刺骨地；激烈地；极其地
sunshine|n. 阳光
operation|n. 操作；运行；手术
successful|adj. 成功的；有成就的
following|adj. 接着的；下列的；v. 跟随；“follow”的现在分词；n. 追随者；下列各项；prep. 在...之后
patient|adj. 有耐心的；n. 病人
alone|adj. 独自的；孤独的；adv. 独自；单独
exchange|n. 交换；交易所；兑换；v. 交换；兑换
inquire|v. 询问；调查
certain|adj. 确定的；一定的；某个；一定程度上的
caller|n. 来访者；打电话者
relative|n. 亲戚；adj. 比较的；相对的；相关联的
hostess|n. 女主人；女房东；女招待；女主持人
unsmiling|adj. 不笑的；不苟言笑的；严肃的
tight|adj. 紧的；adv. 紧紧地
fix|v. 修理；固定；确定
globe|n. 球体；地球
despair|v. 绝望；n. 绝望
rude|adj. 粗鲁的；无礼的
mirror|n. 镜子；v. 反射；反映
hole|n. 孔；洞
remark|v. 评论；谈论；注意到；n. 评述；言论；注意
remind|v. 提醒；使想起
lighthouse|n. 灯塔
market|n. 市场；商场；销路；行情；v. 在市场上交易；营销
snake charmer|phrase. 耍蛇者
pipe|n. 管子；管道；烟斗；v. 吹笛；以管输送
tune|v. 调整；调音；n. 曲调；调子
glimpse|v. 瞥见；n. 一瞥
snake|n. 蛇；v. 蛇行；曲折前行
movement|n. 活动；运动；动作；乐章
continue|v. 继续；连续
dance|n. 舞蹈；v. 跳舞
obviously|adv. 显然；明显地
difference|n. 差异；不同
Indian|adj. 印度的；印第安人的；n. 印度人；印第安人
pole|n. 柱；杆；地极
flight|n. 飞行；航班；鸟群；（阶梯的）一段
explorer|n. 探险者；勘探者
lie|v. 躺；撒谎；欺骗；n. 谎言
serious|adj. 严肃的；严重的；庄重的；认真的
point|n. 点；观点；要点；分数；v. 指向；指出；弄尖；瞄准
seem|v. 似乎；好像；看起来
crash|v. 碰撞；坠毁；崩溃；n. 碰撞；坠毁；崩溃
sack|n. 袋子；解雇；v. 解雇；装入袋子；劫掠
clear|adj. 清楚的；明确的；清晰的；清澈的；晴朗的；v. 清空；清除；放晴；使明确；adv. 清楚地；彻底地
aircraft|n. 航空器；飞行器
endless|adj. 无穷的；无尽的
plain|n. 平原；adj. 简单明了的；朴素的
forest|n. 森林
risk|n. 风险；v. 冒...的危险
picnic|n. 野餐；v. 去野餐
edge|n. 边缘；边沿；锋；刃；锋利；优势；v. 使锋利；使侧着移动
strap|n. 带子；皮带；皮条；v. 用带缚住；包扎
possession|n. 拥有；财产
breath|n. 呼吸；气息
content|n. 内容；含量；目录；adj. 满足的；v. 使满意
mend|v. 修理；修补；康复；n. 修补；补丁；痊愈
conscience|n. 良心；良知
wallet|n. 钱包；皮夹；钱夹
savings|n. 存款； 储蓄金；n. 节约；“saving”的复数
villager|n. 村民；乡村居民；乡下人
per cent|n. 百分之…
unload|v. 卸载；卸下
extremely|adv. 非常地；极其地；极端地
occur|v. 发生；出现
astonish|v. 使惊讶
pile|n. 桩；堆；摞；v. 堆放；叠放
woollen|adj. 毛纺的；羊毛的；n. 毛线；毛织品
goods|n. 商品；货物
discover|v. 发现；查明；发觉
admit|v. 承认；允许进入
confine|v. 限制；监禁
normal|adj. 正常的；一般的
thirsty|adj. 口渴的；渴望的
ghost|n. 鬼；幽灵
haunt|v. 出没；萦绕；长期困扰；常去；n. 常到之地
furniture|n. 家具
whisky|n. 威士忌
suggest|v. 建议；提出；使想起；暗示
shake|v. 摇动；颤动；n. 摇动；颤动
accept|v. 接受；认可；同意
pull|v. 拉；拖；牵；拔；n. 拉；拖；牵；拔
cotton wool|phrase. 棉絮；药棉
collect|v. 收集
collection|n. 收集物；收藏品
nod|v. 点头；打盹；n. 点头
meanwhile|adv. 与此同时；在此期间
tired|adj. 疲倦的；厌烦的；v. 使疲倦；使厌烦；“tire”的过去式和过去分词
real|adj. 真实的；真的；真正的
owner|n. 所有权人；主人；物主
spring|n. 春天；弹簧；泉；v. 跳；跃；蹦；突然猛烈地移动
mattress|n. 褥垫；床垫
gust|n. 一阵狂风；突然的一阵；v. （风）猛刮
sweep|v. 扫；打扫；掠过；扫荡；n. 扫；打扫；掠过；席卷
courtyard|n. 庭院；院子
smash|v. 打碎；猛烈撞击；n. 打碎；破碎的哗啦声；撞车事故
miraculously|adv. 奇迹般地；神奇地；非凡地
unhurt|adj. 未受伤的；安然无恙的
glance|v. 扫视；瞥一眼；浏览；n. 一瞥；扫视
promptly|adv. 马上；迅速地；敏捷地；准时地
ride|v. 骑；乘坐；n. 骑；乘坐
excursion|n. 远足；短途旅行；涉猎某事
conductor|n. 指挥；售票员；导体
view|n. 视野；风景；见解；v. 审视；观看
reward|n. 奖励；报酬；v. 奖励；回报
virtue|n. 美德；优点
diet|n. 日常饮食；v. 节制饮食
forbid|v. 禁止；不准
hurriedly|adv. 匆忙地；仓促地
embarrass|v. 使窘迫；使尴尬
guiltily|adv. 内疚地；有罪地
strict|adj. 严格的；严厉的
occasionally|adv. 偶尔；有时
temporarily|adv. 暂时地；临时地
inch|n. 英寸；尺寸；少量
space|n. 空间；太空；空格；空白；v. 以一定间隔排列
actually|adv. 事实上；实际上；竟然
hot|adj. 热的
fireman|n. 消防队员
cause|n. 原因；理由；理想；事业；v. 导致；引起
examine|v. 检验；审查；调查
accidentally|adv. 意外地
remains|n. 遗迹；残余；遗体；v. 剩下；留下；依然不变；“remain”的第三人称单数
wire|n. 金属丝；电线；电报；v. 发电报；装电线
volt|n. 伏特
power line|phrase. 电力线；输电线；电源线
solve|v. 解决；解答
mystery|n. 谜；难以理解的事物；神秘感
snatch|v. 攫取；夺取；抓住；n. 攫取；夺取；抓住
spark|n. 火花；火星；v. 触发；冒火花；闪光；激发
sticky|adj. 黏的；棘手的
finger|n. 手指
pie|n. 果馅饼
mix|v. 混合；掺入；合成；交往；n. 混合；结合
pastry|n. 糕点；馅饼皮
annoying|adj. 使恼怒的；讨厌的；v. 使烦恼；使气恼；“annoy”的现在分词
receiver|n. 听筒；接收者
dismay|n. （因惊愕）沮丧；失望；v. 使惊愕、沮丧
recognize|v. 认出；意识到；承认
persuade|v. 说服；劝说
mess|n. 脏乱；杂乱；v. 弄糟；弄乱
doorknob|n. 球形门拉手
register|v. 注册；登记；n. 登记簿；现金出纳机
gold|n. 金；金币；金黄色；adj. 金色的
mine|n. 矿；地雷；pron. 我的（东西）；v. 采矿；埋地雷
treasure|n. 财富；珍宝；宝物；v. 珍爱；珍惜；珍藏
revealer|n. 探测器
invent|v. 发明；创造
detect|v. 察觉；查出；测出
bury|v. 埋葬；埋藏
cave|n. 洞穴
seashore|n. 海岸；海滨；海边
pirate|n. 海盗；盗版者；v. 抢劫；剽窃；盗印
arm|n. 手臂；v. 武装
soil|n. 土壤
entrance|n. 入口；进入；到场；v. 使出神；使入迷
finally|adv. 最后；终于
worthless|adj. 无价值的
thoroughly|adv. 彻底地；完全地
trunk|n. 树干；躯干；大衣箱；象鼻子
confident|adj. 自信的；确信的
value|n. 价值；（数）值；v. 估价；重视
sound|n. 声音；声响；v. 响；听起来；adj. 健全的；完好的；合理的；可靠的；酣睡的
excitement|n. 兴奋；激动
handsome|adj. 英俊的；丰厚的
Rolls-Royce|n. 劳斯莱斯牌汽车
Benz|n. 奔驰牌汽车
wheel|n. 车轮；v. 转动
explosion|n. 爆炸；（感情）爆发；激增
course|n. 课程；过程；一道菜；v. 快速流动；（思想或感情）涌动
rival|n. 竞争者；敌手；v. 竞争；相匹敌
speed|n. 速度；速率；v. 加速；加快
downhill|adv. 向下；走下坡；adj. 下山的；下坡的
madam|n. 夫人；女士；非常自我的女子
jeans|n. 牛仔裤
hesitate|v. 犹豫；踌躇
serve|v. 服务；接待；供职；服役
scornfully|adv. 轻蔑地；藐视地
punish|v. 惩罚；处罚
fur|n. 毛皮；皮草；软毛
eager|adj. 热切的；渴望的
blessing|n. 祝福；祷告；幸事；批准；v. 祝福；保佑；“bless”的现在分词
disguise|v. 伪装；掩饰；n. 伪装；伪装物
tiny|adj. 极小的；微小的；微量的
possess|v. 拥有；占有
cursed|adj. 被诅咒的；可恶的；v. 诅咒；咒骂；“curse”的过去式和过去分词
increase|n. 增加；增长；v. 增加；增多
plant|n. 植物；作物；车间；装置；工厂；发电厂；v. 种植；栽培；安置；放置
church|n. 教堂
evil|n. 邪恶；罪恶；adj. 恶毒的
reputation|n. 名声；名誉
claim|n. 声称；索要；要求；认领；v. 声称；要求；索赔
victim|n. 受害者
vicar|n. 教区牧师
source|n. 来源；出处；源泉；源头；提供资料者；v. 寻找货源
income|n. 收入；收益；所得
bark|v. 狗吠；咆哮；厉声说；n. 犬吠声；树皮
press|v. 按；压；n. 按；压；出版社；新闻界
paw|n. 爪子；脚爪
latch|n. 门闩；碰锁；弹簧锁；v. 用闩闩上；用碰锁锁上
expert|n. 专家；行家；adj. 老练的；内行的；专门的
develop|v. 发展；形成；制订
habit|n. 习惯
remove|v. 搬迁；去掉；移开；消除
future|n. 未来；将来；前途；adj. 将来的；未来的
fair|adj. 公平的；合理的；相当大的；n. 交易会；展销会；集市
fortune-teller|n. 算命者
crystal|n. 水晶；结晶；adj. 晶体的
relation|n. 关联；联系；亲属
impatiently|adv. 不耐烦地；急躁地
Hubble|n. 哈勃
telescope|n. 望远镜
launch|v. 发射；发起；启动；掷；n. 发射；投掷；启动
NASA|abbr. （美国）国家航空和航天局 ；“National Aeronautics and Space Administration”的缩写
billion|num. 十亿
faulty|adj. 有缺陷的；有故障的；有错误的
astronaut|n. 宇航员；太空人
shuttle|n. 梭子；穿梭；往返移动之物；航天飞机；v. 穿梭移动；往返运送
Endeavour|n. “奋进”号
robot-arm|n. 机器手臂
grab|v. 抓取；攫取
atmosphere|n. 大气；气氛；氛围
distant|adj. 遥远的；远处的；疏远的；冷漠的
galaxy|n. 星系；银河；银河系；一群出色的人（或物）
universe|n. 宇宙
eagle eye|phrase. 鹰眼；敏锐的目光
control|v. 控制；操纵；n. 控制；管制
smoke|v. 抽烟；冒烟；n. 烟；烟雾
desolate|adj. 荒凉的；孤寂凄凉的；v. 使荒无人烟；使孤寂凄凉
threaten|v. 威胁；恐吓
surrounding|adj. 周围的；附近的；v. 环绕；围绕；“surround”的现在分词
destruction|n. 毁灭；引起毁灭的根源
flood|n. 洪水；水灾；v. 淹没；泛滥
authority|n. 权威；权威人士；权力；当局；官方机构
grass-seed|n. 草籽
spray|n. 喷雾；v. 喷洒
quantity|n. 量；数量；大量
root|n. 根；根源；v. 生根
century|n. 世纪；百年
patch|n. 补丁；一小片；小块地；v. 打补丁；缝补
blacken|v. （使）变黑；中伤；诋毁
circle|n. 圆；圈；v. 圈出；环绕
admire|v. 钦佩；赞赏
close|v. 关闭；使接近；adj. 接近的；亲密的；adv. 接近地；紧挨地
wedding|n. 婚礼；婚宴
reception|n. 接待；招待会
sort|n. 种类；类别；v. 把…分类；拣选；理清；解决
tunnel|n. 隧道；地道；v. 开凿隧道
port|n. 港口
ventilate|v. 使通风；公开表达
chimney|n. 烟囱
sea level|phrase. 海平面
double|n. 两倍；v. （使）加倍；是…的两倍；把…对折
ventilation|n. 通风；通风装置
fear|v. 害怕；惧怕；n. 害怕；惧怕
invasion|n. 侵犯；侵略
officially|adv. 正式地；官方地
connect|v. 连接；接通
European|adj. 欧洲的；欧洲人的；欧盟的；n. 欧洲人
continent|n. 洲；大陆
versus|prep. 对…；与…相对
Christmas|n. 圣诞节
circus|n. 马戏团
present|n. 目前；礼物；adj. 在场的；目前的；v. 呈现；提出
accompany|v. 陪伴；伴随；为…伴奏
approach|v. 接近；靠近；临近；处理；n. 方法；接近；靠近；路径
ought|v. 应当；应该；可能会
weigh|v. 称量；权衡
fortunate|adj. 幸运的
Lancaster|n. 兰开斯特（美国一城市）
bomber|n. 轰炸机；投弹手
remote|adj. 偏远的；久远的；渺茫的；n. 遥控器
Pacific|n. 太平洋；adj. 太平洋的
wreck|v. 破坏；毁坏；n. 遇难船只；失事；残骸
rediscover|v. 重新发现
aerial|adj. 空气的；空中的；n. 天线
survey|v. 调查；勘测；n. 调查；勘测
rescue|n. 救援；营救；v. 救援；营救
package|n. 包；包裹；v. 包装
enthusiast|n. 热心者；热衷于…的人
restore|v. 恢复
imagine|v. 想象；设想；假想
packing case|phrase. （木制的）装货箱
colony|n. 殖民地；群体
bee|n. 蜜蜂
hive|n. 蜂箱；蜂巢；蜂群；闹市；v. 使（蜂）入蜂箱；群居
preserve|v. 保存；保护；保持；n. （某群体）专有的活动；保护区
beeswax|n. 蜂蜡；v. 涂蜜蜡于
volcano|n. 火山
active|adj. 积极的；活跃的；主动的
Kivu|n. 基伍湖
Congo|n. 刚果
Kituro|n. 基图罗（火山名）
erupt|v. 爆发；喷发
violently|adv. 激烈地；猛烈地
manage|v. 管理；设法做到；完成（困难的事）
brilliant|adj. 光辉的；明亮的；灿烂的；卓越的；极好的
liquid|n. 液体；adj. 液体的；液态的
escape|v. 逃避；逃走；n. 逃脱；逃避
alive|adj. 活着的；活泼的
persistent|adj. 执着的；坚持的；持续的
avoid|v. 避免；避开
insist|v. 坚持；坚决要求
murder|n. 谋杀；v. 谋杀；杀害
instruct|v. 教授；教导；指示；命令；通知
acquire|v. 获得；得到；学会
confidence|n. 信心；信任；秘密；私事
examiner|n. 考官；主考人；检查员
suppose|v. 认为；假设；猜想
tap|n. 水龙头；轻拍；轻敲；轻击；v. 轻拍；轻敲；利用；提取
react|v. 反应
brake|n. 刹车；制动器；v. 刹车
pedal|n. 踏板；踩踏板；v. 用脚踏动
mournful|adj. 悲哀的；哀痛的
bullfight|n. 斗牛
drunk|adj. 喝醉的；v. 喝；喝酒；“drink”的过去分词
wander|v. 徘徊；漫游
unaware|adj. 没意识到；不觉察的；不知道的
bull|n. 公牛；雄性大动物；胡扯；废话
matador|n. 斗牛士
apparently|adv. 据说；似乎；显然地
sensitive|adj. 敏感的；感情脆弱的；体贴的；善解人意的
criticism|n. 批评；指责；评论
charge|v. 使承担责任；收费；充电；指控；给…充电；n. 负责；收费；指控；谴责
clumsily|adv. 笨拙地；粗陋地
bow|n. 弓；蝴蝶结；鞠躬；v. （使）鞠躬
safety|n. 安全；平安
sympathetically|adv. 怜悯地；同情地
parliament|n. 国会；议会
erect|adj. 直立的；竖立的；v. 竖立；直立；建立
accurate|adj. 精确的；无误的
official|n. 官员；高级职员；adj. 官方的；正式的
Greenwich|n. 格林威治（英国城市）
observatory|n. 天文台；气象台
check|v. 检查；核实；克制；n. 检查；支票；方格图案
microphone|n. 麦克风；扩音器
tower|n. 塔；塔楼；v. 远远高于；高耸
racing|n. 赛车；竞赛；竞速；v. 比赛；疾走；“race”的现在分词
per|prep. 每；每一
Utah|n. 犹他州
horsepower|n. 马力
burst|v. 爆裂；突然而起；n. 爆裂；突然而起
average|adj. 平均的；普通的；n. 平均数；平均水平；v. 平均为…
footstep|n. 足迹；脚步声
record-holder|n. 纪录保持者
truant|n. 逃学者；旷课者；adj. 逃学的；怠惰的；v. 逃学；旷课
unimaginative|adj. 缺乏想象力的；无创意的
shame|n. 羞愧；羞耻；v. 使丢脸；使羞愧
hitchhike|v. 搭便车旅游；沿途搭乘别人车旅行
meantime|n. 期间；与此同时
lorry|n. 卡车；载重汽车
border|n. 边界；边疆；v. 和…毗邻；与…接壤
evade|v. 逃避；回避；躲避
limelight|n. 舞台灯光；公众注意的中心
