excuse|n. 饶恕；借口；致歉；v. 宽恕；原谅；辩解
near|adj. 近的；prep. 靠近；在…附近；adv. 近地
window|n. 窗口；窗户
armchair|n. 扶手椅；单座沙发
door|n. 门
picture|n. 图画；照片；v. 想象；描述
wall|n. 墙壁
trousers|n. 裤子；长裤
bedroom|n. 卧室
untidy|adj. 不整洁的；凌乱的
must|auxv. 必须；一定要；n. 必须做的事；必不可少的事物
air|n. 空气；空中；气氛；神态；v. （使）通风；播出；晾干
put|v. 放；放置
clothes|n. 衣服；服装
wardrobe|n. 衣柜；衣橱
dust|n. 粉尘；尘埃；v. 擦去…的灰尘
sweep|v. 扫；打扫；掠过；扫荡；n. 扫；打扫；掠过；席卷
read|v. 读；阅读
sharpen|v. 使尖锐；使急剧；使提高
put on|phrase. 穿戴；上演；增加（体重）
take off|phrase. 拿掉；离开；起飞；脱下；突然成功
turn on|phrase. 开启；接通；发动；突击
turn off|phrase. 关掉
garden|n. 花园；v. 从事园艺
under|prep. 在…下面；低于
tree|n. 树；树木
climb|v. 攀爬；爬升
who|pron. 谁
run|v. 跑步；经营；n. 跑；运转
grass|n. 草；草地；大麻；告密者；v. 使吃草；放牧；告发
after|adv. 以后；后来；prep. 在…之后
across|adv. 横过；穿过；越过；在对面；prep. 穿过；横过；在…对面
cat|n. 猫
type|n. 类型；种类；典型；字体；v. 打字；定型；成为…的典型
letter|n. 信；字母
basket|n. 篮子；篮；筐
eat|v. 吃
bone|n. 骨；骨头
tooth|n. 牙齿
cook|n. 厨师；v. 烹饪
milk|n. 奶；v. 挤奶
meal|n. 一餐；一顿饭
drink|v. 喝；喝酒；n. 饮料；酒
tap|n. 水龙头；轻拍；轻敲；轻击；v. 轻拍；轻敲；利用；提取
day|n. 日；天；时代
cloud|n. 云朵；云层；v. 布满云；使不清楚
sky|n. 天空
sun|n. 太阳；阳光
shine|v. 照耀；发光；闪耀
with|prep. 用；和；有；对
family|n. 家庭；家族；（动、植物的）科；（语言的）族、系；adj. 家庭的；家族的
walk|v. 行走；n. 步行
over|adv. 结束；越过；大于；prep. 越过；遍于…之上
bridge|n. 桥；桥梁
boat|n. 小船；v. 划船；用船运输；用船装运
river|n. 河；河流
ship|n. 船；舰；v. 装运；把…装上船；使乘船；在船上工作
aeroplane|n. 飞机
fly|v. 飞翔；飞行；n. 苍蝇
sleep|n. 睡眠；v. 睡觉
shave|v. 刮；剃
cry|v. 哭；呼喊；n. 哭；呼喊
wash|v. 洗；洗涤
wait|v. 等待；等候；n. 等待；等候
jump|n. 跳；跳跃；v. 跳；跳跃
photograph|n. 照片；相片；v. 照相；拍照
village|n. 村庄；乡村
valley|n. 山谷；溪谷；流域
between|prep. （空间或时间上）在…之间；adv. （空间或时间上）介于…之间
hill|n. 丘陵；小山
another|adj. 又一个的；另一个的；pron. 又一；另一；不同的（一个）
wife|n. 妻子；太太
along|prep. 沿着；adv. 沿着
bank|n. 银行；岸
water|n. 水；v. 给…浇水；给（某地）供水
swim|v. 游泳
building|n. 建筑物；楼房；v. 建筑；“build”的现在分词
park|n. 公园；停车场；v. 停放；停车
into|prep. 进入；到…里
beside|prep. 在旁边（或附近）
off|prep. 离开；脱落；adv. 离；断开；int. 走开；adj. 远离的；空闲的
work|n. 工作；作品；活计；制作品；v. （使）工作；（使）运转；操作；经营；起作用
hard|adj. 坚硬的；困难的；费劲的；adv. 努力地
bookcase|n. 书架；书柜
hammer|n. 锤子；v. 锤打
paint|v. 刷油漆；画；绘；n. 油漆；绘画颜料
pink|n. 粉红色；adj. 粉红色的
favourite|adj. 特别受喜爱的；n. 特别喜爱的事物
homework|n. 家庭作业；功课
listen|v. 听
dish|n. 盘；碟；菜肴
front|n. 前面；前线；adj. 前面的
in front of|phrase. 在...前面
careful|adj. 小心的；仔细的
vase|n. 花瓶
drop|n. 滴；下落；v. 落下；掉下
flower|n. 花；花朵
show|v. 展示；表明；给...看；n. 演出；展览会；表现
send|v. 发送；送；寄
take|v. 拿；带领；乘坐；接受；花费；做（某个动作）
cheese|n. 奶酪
bread|n. 面包；生计
soap|n. 肥皂
chocolate|n. 巧克力；adj. 巧克力的
sugar|n. 糖；食糖；v. 在…中加糖
coffee|n. 咖啡
tea|n. 茶；茶叶；茶水
tobacco|n. 烟草；烟叶
bird|n. 鸟
any|adj. 任何的；；pron. 任何；adv. 稍微
some|adj. 一些；某些；pron. 有些；若干
of course|phrase. 当然
kettle|n. 水壶
behind|prep. 在…后面；adv. 在后面
teapot|n. 茶壶
now|adv. 现在；目前
find|v. 找；找到；发现；认为
boil|v. 沸腾；煮；煮沸；n. 煮沸；沸点
can|v. 能；n. 金属罐
boss|n. 老板
minute|n. 分钟；一会儿；adj. 微小的
ask|v. 问；询问；要求
handwriting|n. 笔迹；手写
terrible|adj. 可怕的；极坏的；糟糕的
lift|v. 举起；抬起；提起；解除；n. 电梯；搭便车
cake|n. 蛋糕；饼
biscuit|n. 饼干
like|v. 喜欢；prep. 像
want|v. 想要；n. 缺乏
fresh|adj. 新鲜的；新的；刚发生的；无经验的
egg|n. 蛋；鸡蛋
butter|n. 黄油；奶油；v. 涂黄油于...上
pure|adj. 纯的；纯净的；纯粹的
honey|n. 蜂蜜；甜蜜；宝贝
ripe|adj. 成熟的
banana|n. 香蕉
jam|n. 果酱；堵塞；困境；v. 挤紧；使堵塞；猛地做
sweet|adj. 甜的；悦人的
Scotch whisky|phrase. 苏格兰威士忌
choice|n. 选择；抉择；精选品；adj. 上等的；精选的
apple|n. 苹果
wine|n. 酒；果酒；葡萄酒；v. 用葡萄酒招待；（请）喝酒
beer|n. 啤酒
blackboard|n. 黑板
butcher|n. 屠夫；肉贩；v. 屠宰；杀戮；adj. 更男性化的；更有男子气的；“butch”的比较级
meat|n. 肉
beef|n. 牛肉
lamb|n. 羔羊；小羊；羔羊肉
husband|n. 丈夫；v. 节俭使用
steak|n. 牛排；肉排
mince|v. 切碎；剁碎；装腔作势地小步走；n. 绞碎的肉
chicken|n. 鸡肉；鸡
tell|v. 告诉；讲述；说；辨别
truth|n. 真理；事实；真实
either|adv. 也（用于否定词组后）；pron. 两者中的任何一个；（用于否定句）两者都不；conj. 两者之一
tomato|n. 西红柿；番茄
potato|n. 土豆；马铃薯
cabbage|n. 卷心菜
lettuce|n. 生菜；莴苣
pea|n. 豌豆
bean|n. 豆；豆科植物
pear|n. 梨子
grape|n. 葡萄
peach|n. 桃子；桃树；桃红色
Greece|n. 希腊
climate|n. 气候；（社会）风气；一般（社会）趋势
country|n. 国家；乡村
pleasant|adj. 令人愉快的；合意的；宜人的
weather|n. 天气；v. 使受风吹雨打；风干；经受住
spring|n. 春天；弹簧；泉；v. 跳；跃；蹦；突然猛烈地移动
windy|adj. 有风的；多风的；空谈的；吹牛的
warm|adj. 温暖的；v. （使）变暖
rain|n. 雨；雨水；v. 下雨
sometimes|adv. 有时；间或
summer|n. 夏季；夏天
autumn|n. 秋季；秋天
winter|n. 冬季；冬天
snow|v. 下雪；降雪；n. 雪花；雪
January|n. 一月
February|n. 二月
March|n. 三月
April|n. 四月
May|n. 五月
June|n. 六月
July|n. 七月
August|n. 八月
September|n. 九月
October|n. 十月
November|n. 十一月
December|n. 十二月
the U.S.|n. 美利坚合众国；“the United States”的缩写
Brazil|n. 巴西
Holland|n. 荷兰
England|n. 英格兰；英国
France|n. 法国
Germany|n. 德国
Italy|n. 意大利（欧洲国家）
Norway|n. 挪威
Russia|n. 俄罗斯
Spain|n. 西班牙（欧洲国家）
Sweden|n. 瑞典
mild|adj. 温和的；轻微的
always|adv. 总是；一直
north|n. 北方；adj. 北方的；adv. 在北方
east|n. 东方；adj. 东方的；adv. 在东方
wet|adj. 潮的；湿的；v. 使潮湿；把…弄湿
west|n. 西方；adj. 西方的；adv. 在西方
south|n. 南方；adj. 南方的；adv. 在南方
season|n. 季节；v. 给...调味；风干
best|adj. 最好的；最多的；最大的；“good”的最高级；adv. 最好地；最多地；最大地；“well”的最高级；n. 最高水平；最佳物；佼佼者
night|n. 夜晚；晚上
rise|v. 上升；提高；n. 上升；提高
early|adv. 提早地；adj. 早的；早前的
set|v. 设置；放置；使固定；n. 一组；一套；集合； adj. 固定的；位于…的；安排好的
late|adj. 晚的；迟的；已故的；adv. 晚；迟
interesting|adj. 有趣的
subject|n. 主题；话题；学科；对象
conversation|n. 谈话；会话；交谈
Australia|n. 澳大利亚；澳洲
Australian|adj. 澳大利亚的；澳大利亚人的；n. 澳大利亚人
Austria|n. 奥地利
Austrian|adj. 奥地利的；奥地利人的；n. 奥地利人
Canada|n. 加拿大
Canadian|n. 加拿大人；adj. 加拿大的；加拿大人的
China|n. 中国
Finland|n. 芬兰
Finnish|adj. 芬兰的；芬兰人的；芬兰语的；n. 芬兰人；芬兰语
India|n. 印度
Indian|adj. 印度的；印第安人的；n. 印度人；印第安人
Japan|n. 日本
Nigeria|n. 尼日利亚
Nigerian|adj. 尼日利亚的；尼日利亚人的；n. 尼日利亚人
Turkey|n. 土耳其
Turkish|adj. 土耳其的；土耳其人的；土耳其语的；n. 土耳其语；土耳其人
Korea|n. 韩国；朝鲜
Polish|adj. 波兰的；波兰人的；波兰语的；n. 波兰语；波兰人
Poland|n. 波兰
Thai|adj. 泰国的；泰国人的；泰语的；n. 泰国人；泰国语
Thailand|n. 泰国
live|v. 生活；居住；活着；adj. 活的；现场的；实况转播的
stay|v. 停留；保持；n. 停留；逗留
home|n. 家；家庭；adv. 在家；adj. 家的；家庭的；v. 送…回家；提供住处
housework|n. 家务事；家务劳动
lunch|n. 午餐；午饭
afternoon|n. 下午
usually|adv. 通常；一般
together|adv. 一起
evening|n. 晚上；傍晚
arrive|v. 到达；抵达
o'clock|adv. …点钟
shop|n. 商店；v. 购物
moment|n. 瞬间；片刻
envelope|n. 信封
writing paper|phrase. 信纸；书写纸
shop assistant|phrase. 售货员
size|n. 大小；尺码
pad|n. 垫；爪垫；便笺簿；v. 放轻脚步走
glue|n. 胶；胶水；v. 胶合；粘合；紧附于
chalk|n. 粉笔
change|n. 变化；变革；零钱；v. 变化；变革
feel|v. 感到；触摸；认为；n. 感受；触觉
look|v. 看；看上去；n. 看
call|n. 打电话；v. 叫；打电话
doctor|n. 医生；博士；v. 篡改
telephone|n. 电话；电话机
remember|v. 记得；记住
mouth|n. 嘴；口
tongue|n. 舌头；语言
bad|adj. 坏的；糟糕的；严重的
news|n. 新闻；消息
headache|n. 头痛；麻烦；令人头痛的人（或事物）
aspirin|n. 阿司匹林（镇痛解热消炎药）
earache|n. 耳痛
toothache|n. 牙痛
dentist|n. 牙科医生
stomach ache|phrase. 胃痛
medicine|n. 药；医学
temperature|n. 温度；气温；体温
flu|n. 流感；流行性感冒
measles|n. 麻疹
mumps|n. 腮腺炎
better|adj. 更好的；更优秀的；“good”的比较级；adv. 更好地；“well”的比较级；v. 胜过；使更佳
certainly|adv. 毫无疑问地；确定地；当然
get up|phrase. 起床
yet|adv. 还；然而；仍然；conj. 然而；但是
rich|adj. 富有的；富裕的；丰饶的；圆润的；油腻的
food|n. 食物
remain|v. 剩下；留下；保持
play|v. 玩；演奏；扮演；播放；n. 戏剧；比赛
match|n. 比赛；火柴；v. 相配
talk|v. 说话；交谈；n. 谈话
library|n. 图书馆
drive|v. 驾驶；驱使；n. 动力
so|adv. 如此；这么；很；也；conj. 所以
quickly|adv. 迅速地；快地
lean out of|phrase. 身体探出
break|v. 打破；打断；休息；n. 中断；休息；破裂
noise|n. 噪声；噪音
Dad|n. 爸爸；爹爹
key|n. 钥匙；关键；adj. 关键的
baby|n. 婴儿；宝贝
hear|v. 听；听见
enjoy|v. 享受；享有；喜爱
yourself|pron. 你自己
ourselves|pron. 我们自己
mum|adj. 沉默的；不说话的；n. 妈妈
myself|pron. 我自己
themselves|pron. 他们自己；她们自己；它们自己
himself|pron. 他自己
herself|pron. 她自己
greengrocer|n. 果菜商；蔬菜水果店
absent|adj. 缺席的；v. 缺席；不参加
Monday|n. 星期一
Tuesday|n. 星期二
Wednesday|n. 星期三
Thursday|n. 星期四
keep|v. 继续；保持；保留
spend|v. 花费；消耗；度过
weekend|n. 周末
Friday|n. 星期五
Saturday|n. 星期六
Sunday|n. 星期日
lucky|adj. 好运的；幸运的
church|n. 教堂
dairy|adj. 牛奶的；乳品的；n. 乳品店
baker|n. 面包师傅
grocer|n. 食品杂货商
year|n. 年
race|n. 种族；赛跑；竞争；v. 比赛；快速移动
town|n. 镇；城镇；市镇
crowd|n. 人群；群众；v. 拥挤；群集
stand|v. 站立；忍受；抵御；n. 停止；抵抗的状态；立足点
exciting|adj. 令人激动的；使人兴奋的；v. 使兴奋；使激动； “excite”的现在分词
just|adv. 只是；就；仅仅；刚刚；恰好；adj. 公正的；正当的；合理的
finish|v. 完成；结束
winner|n. 优胜者；成功者
way|n. 道路；方向；路线；方法；方式
stationer|n. 文具商
Denmark|n. 丹麦（北欧国家）
awful|adj. 可怕的；糟糕的；讨厌的；adv. 非常；极其
time|n. 时间；倍；次数；时期；v. 计时；安排时间；adj. 时间的；定时的；分期的
answer|n. 回答；答案；v. 回答；回应
last|adj. 最后的；最近的；adv. 最后；最近；v. 持续
phone|n. 电话；v. 打电话
again|adv. 再次；又一次
say|v. 说；讲；说话
week|n. 周；星期；礼拜
London|n. 伦敦（英国首都）
suddenly|adv. 突然；猛然；骤然
bus stop|phrase. 公共汽车站
smile|v. 微笑；n. 微笑；笑容
pleasantly|adv. 愉快地；快活地
understand|v. 理解
speak|v. 讲话；发言
hand|n. 手；v. 交；递；给
pocket|n. 口袋；衣袋；兜；v. 把…放进衣袋；adj. 袖珍的；小型的
phrasebook|n. 短语手册；常用语手册
phrase|n. 短语；词组；v. 叙述；措辞
slowly|adv. 缓慢地；迟缓地
hurriedly|adv. 匆忙地；仓促地
cut|v. 切；割；削减；n. 切；割；伤口；削减
thirstily|adv. 如饥似渴地
go|v. 走；去
greet|v. 问候；打招呼；迎接
ago|adv. 以前
buy|v. 买；换取；收买；相信
pair|n. 一双；一对；v. （使）成对；（使）配对
fashion|n. 时尚；流行；姿态；方式；v. 制作；把...塑造成；使适应
uncomfortable|adj. 使人不舒服的；感到难受的；不自在的
wear|v. 穿；戴；n. 衣着；磨损
appointment|n. 约会；约定；职位；任命
urgent|adj. 紧急的；紧迫的
till|prep. 直到；conj. 直到；n. 现金出纳机
shopping|n. 购物；所购买之物
list|n. 表；名单；v. 列出；（船）倾斜
vegetable|n. 蔬菜
need|n. 需要；v. 需要
hope|n. 希望；v. 希望
thing|n. 东西；事情
money|n. 钱；金钱
groceries|n. 食品杂货
fruit|n. 水果；成果；v. 结果实
stationery|n. 文具
newsagent|n. 报刊经销人
chemist|n. 化学家； 药剂师
bath|n. 洗澡；浴室；v. 给…洗澡
nearly|adv. 几乎；将近；差不多
ready|adj. 准备好的；v. 使...准备好
dinner|n. 晚餐；晚宴
restaurant|n. 餐厅；餐馆
roast|v. 烤；烘烤；n. 烤肉；烘烤；adj. 烤的；焙的
breakfast|n. 早餐；早饭
haircut|n. 理发；发型
party|n. 聚会；政党
holiday|n. 假日；假期
mess|n. 脏乱；杂乱；v. 弄糟；弄乱
pack|v. 包装；收拾行李；塞满；n. 包裹；小包；一群；（纸牌的）一副
suitcase|n. 手提箱
leave|v. 离开；离去；留下；n. 休假
already|adv. 已经
Paris|n. 巴黎（法国首都）
cinema|n. 电影院；电影
film|n. 电影；底片；薄薄的一层；v. 拍摄电影
beautiful|adj. 漂亮的
city|n. 城市
never|adv. 从未；决不
ever|adv. 在任何时候；总是
attendant|n. 服务人员；adj. 伴随的
bring|v. 带来；引起；导致
garage|n. 车库；汽车修理厂
crash|v. 碰撞；坠毁；崩溃；n. 碰撞；坠毁；崩溃
lamp-post|n. 灯杆；路灯柱
repair|v. 修理；修补；n. 修理；修补
try|n. 尝试；试图；v. 尝试；试图；努力
believe|v. 相信；认为；信任
may|auxv. 可能；可以；会；愿
how long|phrase. 多久
since|conj. 因为；由于；既然；从…以后；adv. 此后；后来；prep. 自…以后；从…以来
why|adv. 为什么；n. 为什么
sell|v. 出售；卖
because|conj. 因为
retire|v. 退休；退役
cost|v. 花费；n. 费用；代价
pound|n. 镑；英镑；v. 连续重击；捣碎
worth|n. 价值；adj. 有…价值；值得的
penny|n. 便士
still|adv. 仍然；还是；adj. 静止的；平静的
move|v. 移动；搬家；n. 行动；移动
miss|v. 想念；错过；漏掉；n. 错过；女士；小姐
neighbour|n. 邻居
person|n. 人；人员；个人
people|n. 人们；人；人民
poor|adj. 贫穷的；可怜的；缺少的；拙劣的
pilot|n. 飞行员；驾驶员
return|v. 返回；归还；n. 返回；归还
New York|n. 纽约
Tokyo|n. 东京（日本）
Madrid|n. 马德里（西班牙首都）
Athens|n. 雅典（希腊首都）
Berlin|n. 柏林（德国）
Bombay|n. 孟买
Geneva|n. 日内瓦（瑞士）
Moscow|n. 莫斯科（俄罗斯首都）
Rome|n. 罗马
Seoul|n. 汉城；首尔（韩国的首都和最大城市）
Stockholm|n. 斯德哥尔摩（瑞典首都）
Sydney|n. 悉尼（澳大利亚）
train|n. 火车；列车；列；队；v. 训练；培训
platform|n. 平台；站台；月台
plenty|adj. 足够的；n. 充裕；富裕
bar|n. 棒；条状物；（门、窗的）闩；酒吧；栅栏
station|n. 车站；站
porter|n. 行李搬运工；守门人；（列车卧车的）服务生
describe|v. 描述
zip|n. 拉链；精力；活力；v. 拉上拉链；快速移动；压缩
label|n. 标签；v. 用标签标明
handle|v. 处理；操纵；n. 柄；把手
address|n. 地址；网址；演说；v. 写上地址；向…讲话；解决
pence|n. 便士；“penny”的复数
belong|v. 应在（某处）；属于
ow|int. 哎哟（表示疼痛）
slip|v. 滑倒；滑落；溜走；悄悄地放；n. 滑倒；溜走；疏忽；纸片
fall|v. 下降；跌倒；n. 落下；跌落；秋天
downstairs|adv. 往楼下；在楼下；adj. 楼下的；底楼的
hurt|v. 受伤；感到疼痛；n. 伤痛
back|n. 背部；后面；adv. 回原处；向后；adj. 后面的；拖欠的；v. 支持
stand up|phrase. 站起来
help|n. 帮助；v. 帮助
at once|phrase. 马上
sure|adv. 当然；当然可以；确定；adj. 确信；必定的
X-ray|n. X射线
licence|n. 许可证；执照
Scotland|n. 苏格兰（英国）
card|n. 卡片；纸牌；银行卡
youth|n. 青春；年轻；青年
hostel|n. 旅社；招待所；（校外）学生宿舍
association|n. 协会；联系；联想
soon|adv. 很快；不久
write|v. 书写；写信；写作
exam|n. 考试；测验
pass|v. 路过；(时间)流逝；超过；传递；通过；n. (考试)及格；通行证
mathematics|n. 数学
question|n. 问题；疑问；v. 询问；怀疑
easy|adj. 容易的；轻松的
enough|adj. 足够的；充足的；adv. 足够地；充分地；n. 充足；足够；int. 够了
paper|n. 纸；报纸；论文；试卷；v. 用墙纸贴
fail|v. 失败；不及格；无法做到；使失望；衰退；倒闭；n. 失败；不及格
mark|n. 记号；痕迹；分数；v. 做标记；（使）留痕迹；评分
rest|v. （使）休息；（使）倚靠；停留在；中止；n. 休息；其他；剩余部分；宁静
difficult|adj. 困难的
hate|v. 讨厌；憎恨；n. 憎恨；厌恶
low|adv. 低；低矮；在低处；往下地；adj. 低沉的；低垂的
cheer|v. 欢呼；鼓舞；使鼓起精神；n. 欢呼声；激励
