considerable|adj. 重要的；相当大的；可观的
gibbon|n. 长臂猿
giraffe|n. 长颈鹿
gorilla|n. 大猩猩
herd|n. 兽群；牧群；芸芸众生；v. 放牧；（强制）集合
herdsman|n. 牧人；牧主
hippo|n. 河马
horde|n. （熙攘、纷扰的）一大群
horn|n. 角；号角；喇叭
koala|n. 树袋熊；考拉熊；无尾熊
marmot|n. 土拨鼠
niche|n. 壁龛；合适的位置；称心的职务；商机；生态位
ox|n. 公牛；（阉割的）公牛
pony|n. 矮马；小型马；v. 付清
reindeer|n. 驯鹿
rhinoceros|n. 犀牛
seal|n. 海豹；印章；v. 密封；封上
sloth|n. 懒惰；树懒
whale|n. 鲸；v. 捕鲸
woodpecker|n. 啄木鸟
yak|n. 牦牛
zebra|n. 斑马
zoology|n. 动物学；（某一地区的）全部动物；（某种动物的）动物特性
aquatic|adj. 水生的；水栖的；水中的
carnivore|n. 食肉动物；食虫植物
carnivorous|adj. 食肉的
class|n. 班级；课；等级；阶级；类别
coelenterate|n. 腔肠动物
domestic|adj. 家庭的；国内的；驯养的；n. 佣人
domesticate|v. 驯养；使爱家；适应家庭生活
family|n. 家庭；家族；（动、植物的）科；（语言的）族、系；adj. 家庭的；家族的
habitat|n. 栖息地；居留地；产地
herbivorous|adj. 食草的
homotherm|n. 恒温动物
invertebrate|adj. 无脊椎的；无骨气的；n. 无脊椎动物；无骨气的人
vertebrate|adj. 有脊骨的（动物）；n. 脊椎动物
omnivorous|adj. 杂食的；兴趣广泛的
order|n. 顺序；条理；订单；命令；（生物学的）目；v. 订购；命令；点餐；整理
poikilotherm|n. 变温动物；冷血动物
predator|n. 掠夺者；捕食性动物；食肉动物
predatory|adj. 食肉的；掠夺性的
prey|n. 猎物；受害者；受骗者；v. 捕食；坑害；折磨
primate|n. 灵长类（动物）；大主教
quarry|n. 采石场；猎物；v. 挖出；苦心找出
rodent|n. 啮齿动物；adj. 啮齿目的
scavenger|n. 食腐动物；拾荒者
suborder|n. 亚目
chirp|v. 吱喳而鸣；欢快地高声说话；n. 喳喳声；唧唧声
dormancy|n. 休眠；冬眠；潜伏
estivation|n. 夏眠；度夏
hibernation|n. 冬眠
graze|v. 放牧；吃草；擦伤；n. 擦伤
overgraze|v. 过度放牧
gregarious|adj. 群居的；合群的；爱社交的
hatch|v. 孵出；出壳；秘密策划；n. 舱口；小窗口
leap|v. 跳跃；n. 跳跃
emigrate|v. 移居国外
immigrate|v. 移居入境
migratory|adj. 迁移的；迁徙的；移栖的
nest|n. 窝；鸟巢；（能叠放在一起的）一套物件；v. 筑巢；嵌套
peck|v. 啄；连续敲击；轻吻；n. 啄痕；啄食；轻吻
pregnant|adj. 怀孕的；妊娠的
reproduce|v. 繁殖；复制
reproduction|n. 生殖；繁殖；复制
reproductive|adj. 生殖的；再生的；复制的
spawn|n. 卵；产物；v. 产卵
squeak|n. 吱吱声；尖叫声；v. 短促而尖厉地叫；吱吱叫
way|n. 道路；方向；路线；方法；方式
backstage|adv. 在后台；私下；秘密地；adj. 幕后的；关于戏剧界人物私生活的；n. 后台；幕后
tour|n. 旅游；游览；巡回活动；v. 旅行；游览；作巡回活动
show round|phrase. 带...参观；带...转转；n. 表演
theatre|n. 剧场；电影院
operate|v. 操作；运转；施行手术
operation|n. 操作；运行；手术
operational|adj. 操作的；运作的
a tragic ending|phrase. 悲惨的结局；悲剧收场
dialogue|n. 对话；对白
drama|n. 戏剧；话剧
main plot|phrase. 主要情节
monologue|n. 独白；独角戏；长篇大论
offstage|adj. 舞台后面的；后台的；台下的；adv. 舞台后面地；后台地；幕后地
playwright|n. 剧作家
puppet|n. 木偶；傀儡
script|n. 剧本；脚本；手稿
thespian|adj. 戏剧的
black comedy|phrase. 黑色喜剧
dance drama|phrase. 舞剧；舞蹈剧
farce|n. 闹剧；胡闹；滑稽戏
modern drama|phrase. 话剧；现代戏剧
music drama|phrase. 音乐剧
musical comedy|n. 音乐喜剧
opera|n. 歌剧
pantomime|n. 哑剧；（英）圣诞童话剧；v. 打手势；演哑剧
pantomimic|adj. 哑剧的
puppet show|phrase. 木偶剧
satirical comedy|phrase. 讽刺喜剧
sentimental comedy|phrase. 言情喜剧；感伤喜剧；滥情喜剧
situation comedy|phrase. 情景喜剧
sitcom|n. 情景喜剧
tragedy|n. 悲剧；灾难；惨事
tragic|adj. 悲剧的；悲惨的；不幸的
act|v. 行动；表现；演戏；n. 行动；装模作样；（戏）幕；法令
comedian|n. 喜剧演员；滑稽人物
curtain call|n. 谢幕
funnyman|n. 喜剧演员；滑稽演员
hero|n. 英雄；男主角
heroic|adj. 英勇的；英雄的
heroine|n. 女英雄；女主角
impersonate|v. 模仿；假扮
interval|n. 间隔；中场休息
mime|n. 哑剧；默剧；哑剧动作；v. 表演哑剧；用哑剧动作表现
repertoire|n. 全部节目；全部才能
stagehand|n. 舞台工作人员；舞台管理
approach|v. 接近；靠近；临近；处理；n. 方法；接近；靠近；路径
solution|n. 解决办法；溶液
avenue|n. 大街；林荫道；途径
direct|adj. 直接的；v. 指导；指示
indirect|adj. 间接的；迂回的
fashion|n. 时尚；流行；姿态；方式；v. 制作；把...塑造成；使适应
fashionable|adj. 流行的；时髦的
forthright|adj. 直截了当的；直率的；坦白的
means|n. 手段；方法；收入；财富；v. 意思是；表示…的意思；“mean”的第三人称单数
tool|n. 工具；£具；器具；v. 用工具加工
method|n. 方法；办法
mode|n. 方式；样式；模式
pathway|n. 道路；小路；小径
procedure|n. 程序；手续；步骤
recipe|n. 食谱；烹饪法；处方；秘诀
knack|n. 技巧；诀窍
shortcut|n. 捷径；近路
tip|n. 小费；提示；窍门；建议；尖端；v. 给…小费
via|prep. 通过；经由
afraid|adj. 害怕的
happen|v. 发生
magazine|n. 杂志
disappear|v. 消失；不见
row|n. 排；划船；吵闹；v. 划船；吵架
alarm|n. 警报；警铃；闹钟；惊慌；v. 使惊恐
anxious|adj. 焦虑的；不安的；担忧的；渴望的
uneasy|adj. 不安的；不自在的；忧虑的
evaporate|v. （使）蒸发；消失
evaporation|n. 蒸发；消失；脱水；干燥
vaporize|v. （使）蒸发；（使）汽化
extinct|adj. 灭绝的；熄灭的；绝种的
extinction|n. 灭绝；消亡
fade|v. 逐渐消失；褪色；凋谢
fade-in|n. （画面等的）淡入
fade-out|n. （画面等的）淡出
linger|v. 徘徊；逗留；流连；磨蹭
vanish|v. 销声匿迹；突然消失
vanished|adj. 消失了的；v. 销声匿迹；突然消失；“vanish”的过去式和过去分词
advertising|n. 做广告；广告业；广告活动；adj. 广告的；v. 做广告；登广告；“advertise”的现在分词
anthology|n. 选集；文选
article|n. 文章；物品；项目；条款；冠词
big news|phrase. 重大新闻
bimonthly|adj. 两月一次的；每月两次的；adv. 两月一次地；每月两次地
biweekly|adj. 两周一次的；隔周的；adv. 两周一次地；隔周地；n. 双周刊
business magazine|phrase. 商业杂志
circulation|n. 循环；流通；发行量
column|n. 圆柱；专栏；纵；列
columnist|n. 专栏作家
consumer magazine|phrase. 消费者杂志；消费类杂志；消费类期刊
contributor|n. 贡献者；捐助者；投稿人；因素
distribution|n. 分布；分配
editor|n. 编辑（者）；剪辑员
editor-in-chief|n. 总编辑
encyclopedia|n. 百科全书
evening edition|phrase. 晚报
fortnightly|adj. 两星期一次的；隔周发行的；adv. 两周一次地；n. 双周刊
fortnight|n. 两星期
full-page|adj. 全页的；满版的
government organ|n. 官报
headline|n. 大字标题；头条
journal|n. 日志；日记；期刊；杂志
literary magazine|phrase. 文学杂志
low-cost|adj. 廉价的；价格便宜的；成本低的
magazine cover|n. 杂志封面
monthly|adj. 每月的；每月一次的；adv. 每月一次；每个月；n. 月刊
morning edition|phrase. 晨报
news magazine|n. 新闻杂志
newsboy|n. 报童
newspaper|n. 报纸
newsprint|n. 新闻纸；白报纸；报纸上的文字；（印刷报纸的）油墨
newssheet|n. 单张报纸；新闻传单；简报
paperback|n. 平装书；平装本
popular paper|n. 大众报纸
publication|n. 发表；公布；出版；出版物
publisher|n. 出版者；出版社；发行人
quality paper|phrase. 优质报纸；高质量报纸
quarterly|adj. 季度的；adv. 每季一次；n. 季刊
science magazine|phrase. 科学杂志
trade paper|phrase. 专业性报纸
weekly|adj. 每周的；adv. 每周；n. 周刊；周报
psychological|adj. 心理的；心理学的
psychologically|adv. 心理上地；心理学地
claim|n. 声称；索要；要求；认领；v. 声称；要求；索赔
legitimacy|n. 合法性；正统性；合理性
evoke|v. 唤起；引起
trust|n. 信任；信赖；v. 信任；信赖
counselor|n. 顾问；咨询师；法律顾问
illegal|adj. 非法的；违法的
illegality|n. 违法性；非法；非法行为
illegally|adv. 非法地；不法地
lawful|adj. 法律许可的；守法的；合法的
legal|adj. 合法的；法律的
legislation|n. 立法；法规
legislative|adj. 立法的；制定法律的；n. 立法权；立法机关
legitimate|adj. 合法的；合理的；法律认可的；v. 使合法；认为正当
legitimately|adv. 正当地；合法地；合理地
legitimise|v. 使（尤其是坏事）合法化；正式批准（或认可）
outlaw|n. 亡命之徒；逃犯；被剥夺法律权益者；v. 宣布…为非法；使…成为非法
vested|adj. 法定的；既定的；v. 授予；使穿衣；“vest”的过去式和过去分词
abnormal psychology|phrase. 变态心理学；异常心理；变态心理
criminal psychology|phrase. 犯罪心理学；犯罪心理
educational psychology|phrase. 教育心理学
group psychology|phrase. 从众心理；群体心理学；群体心理
individual psychology|phrase. 个体心理学；个体心理
personality psychology|phrase. 人格心理学；个性心理学
social psychology|phrase. 社会心理学
acrophobia|n. 恐高症；惧高症
affective|adj. 情感的
affection|n. 钟爱；喜爱
allergy|n. 过敏症；反感；厌恶
apathy|n. 冷淡；漠不关心
assertive|adj. 坚定自信的；断言的；果断的
attributable|adj. 可归因于…的；由…引起的
claustrophobia|n. 幽闭恐怖（症）
congenital|adj. 先天的；天生的；生性的
delusion|n. 错觉；妄想
deviance|n. 偏常；异常行为
deviant|adj. 不正常的；离经叛道的；n. 不正常的人
disorder|n. 混乱；无秩序；失调
disorderly|adj. 不整齐的；混乱的；骚乱的；无秩序的
emotional|adj. 感情的；情绪的
illusion|n. 错觉；幻觉
mirage|n. 海市蜃楼；幻象
innate|adj. 生来的；天生的
insane|adj. 疯狂的；精神失常的；精神错乱的
sane|adj. 心智健全的；头脑清醒的；明智的
instinct|n. 本能；直觉
mental|adj. 精神的；心理的
multiple personality|phrase. 多重人格
pathology|n. 病理学
phobia|n. 恐怖病；恐怖症
psychiatry|n. 精神病学
psychic|adj. 精神的；灵魂的；心理的；通灵的；n. 通灵的人
rational|adj. 理性的；理智的；合理的
retrospection|n. 回顾
spiritual|adj. 精神上的；心灵的
sympathy|n. 同情；慰问
symptom|n. 征兆；症状
trauma|n. 身体上的伤；精神上的创伤；外伤
abolish|v. 取消；废除；废止
accomplice|n. 帮凶；共犯；同谋
acquittal|n. 宣告无罪；无罪的判决
annul|v. 废除；取消；宣告无效
annulment|n. 取消；废除；宣布无效
arbitration|n. 仲裁；公断
bill|n. 账单；钞票；议案；v. 给…开账单
cancellation|n. 取消；撤销；作废；中止
captivity|n. 监禁；关押；困住
codification|n. 法典编纂；编码；法典化
condone|v. 宽恕；容忍；纵容（不道德行为）
confirmation|n. 证实；确认；批准
constitution|n. 宪法；制定；设立；构成；体格；体质
court|n. 法院；球场；宫廷；v. 求爱；献殷勤；招致
culprit|n. 罪犯；犯错的人
decree|n. 法令；判决；v. 判决；颁布；裁定
defendant|n. 被告人；被诉方；adj. 被告的；辩护的
denounce|v. 公开指责；告发；揭发
deposition|n. 沉积（物）；革职；宣誓证词；作证书
detain|v. 扣留；拘押；耽搁
domineering|adj. 专横的；盛气凌人的
enforcement|n. 执行；实施
exempt|adj. 被免除的；被豁免的；v. 豁免；免除
extradition|n. 引渡
eyewitness|n. 目击者；目击证人
hearing|n. 听力；听觉；v. 听；听见；“hear”的现在分词
impeach|v. 控告；弹劾；怀疑
imprison|v. 监禁；束缚
imprisonment|n. 监禁；关押；徒刑
incriminate|v. 使负罪；指控…有罪；牵连
indemnity|n. 保险；赔款；赔偿
indemnification|n. 赔偿；保障；赔偿物（或赔偿金）
interrogatory|n. 质问；讯问；adj. 质问的；疑问的
jurisprudence|n. 法学；法律学
legality|n. 合法
liability|n. 责任；义务；负债
non-observance|phrase. （对协议等的）不遵守
notary|n. 公证人；公证员
observance|n. 遵守；奉行；庆祝
patent|n. 专利；专利权；专利证书；adj. 有专利的；受专利保护的
penalty|n. 惩罚；刑罚
query|n. 询问；疑问；问号；v. 询问；怀疑
ratification|n. 批准；认可
recidivist|n. 惯犯
remit|v. 宽恕；免除；汇寄；减缓；送呈
revocation|n. 撤回；撤销；取消
substantiate|v. 证实；实体化
summons|n. 召唤；传票；召见令；v. 召唤；召集；鼓起（勇气）；“summon”的第三人称单数
testify|v. 作证；证明
accusation|n. 控告；起诉；指控
indictment|n. 起诉；控告；起诉状
lawsuit|n. 诉讼
nonsuit|n. 诉讼驳回；v. 驳回
plaintiff|n. 起诉人；原告
plea|n. 恳求；申诉；抗辩；借口
proceeding|n. 进程；事件；诉讼程序；v. 进行；继续；继续进行；“proceed”的现在分词
prosecute|v. 起诉；控告；检举；指控；继续从事
sue|v. 起诉；控告；请求
display|v. 展示；陈列；n. 展示；陈列
exhibition|n. 展览；展出
show|v. 展示；表明；给...看；n. 演出；展览会；表现
warning|n. 警示；警戒；v. 警告；告诫；“warn”的现在分词
critical|adj. 批判性的；临界的；危急的；关键的；至关重要的
uncritical|adj. 不加辨别的；不加批判的
critically|adv. 批评地；危急地；严重地
emerge|v. 浮现；显露；暴露
spontaneous|adj. 自发的；自然产生的
criticism|n. 批评；指责；评论
suppress|v. 镇压；抑制；查禁；使止住
squash|v. 把…压扁（或压坏）；（使）挤进；制止；n. 拥挤；壁球
restrain|v. 抑制；抑止
suppressant|adj. 抑制性的
suppression|n. 压制；镇压；抑制
aesthetic|adj. 审美的；美学的
ancient calligraphy and painting|phrase. 古代书画
art|n. 艺术
artistic|adj. 艺术的
artware|n. 工艺品；实用工艺美术品
bronze ware|phrase. 青铜器；铜器
cradle|n. 摇篮；发源地；吊架；v. 轻轻抱着
creative art|phrase. 创造性艺术；创意艺术
decorative art|phrase. 装饰艺术
display cabinet|phrase. 展示柜
edify|v. 启发；陶冶；启迪
edification|n. 启迪；教诲；熏陶
exhibit|v. 展览；陈列；展示；n. 展品；展览
fine art|phrase. 艺术
glassware|n. 玻璃制品
jadeware|n. 玉器
language art|phrase. 语言艺术
medium|n. 媒介；方法；adj. 中等的；适中的
performing art|phrase. 表演艺术
photography work|phrase. 摄影作品；摄影工作
plastic art|phrase. 造型艺术
porcelain|n. 瓷；瓷器
primitive art|phrase. 原始艺术
reproducibility|n. 再现性；重复能力
space art|phrase. 太空美术；空间艺术
startling|adj. 令人吃惊的；v. 使惊动；使惊愕；使吃惊；“startle”的现在分词
time and spatial art|phrase. 时空艺术
time art|phrase. 时间艺术
art museum|phrase. 美术馆；艺术博物馆
audio tour|phrase. 语音导览；语音向导
British Museum|n. 不列颠博物馆(英国¸大的综合性博物馆,在伦敦)
caption|n. 插图说明；标题；字幕；v. 加上说明；加上标题；加上字幕
dinosaur|n. 恐龙
dinosaur model|phrase. 恐龙模型
educational|adj. 教育的；有教育意义的
exhibition opening time|phrase. 展览开放时间
explain|v. 解释；说明；阐明
fossil|n. 化石；守旧的事物
ground map|phrase. 地形图
historic|adj. 有历史意义的；历史性的
incomparable|adj. 不可比拟的；无比的；无与伦比的；不能比较的
Jurassic Period|n. 侏罗纪
Louvre|n. 罗浮宫
main entrance|phrase. 主要入口；正门入口
military equipment|phrase. 军事装备；武装；军备
military museum|n. 军事博物馆
museum plan|phrase. 博物馆平面图
museum staff|phrase. 博物馆员工
National Museum of China|n. 中国国家博物馆
American Museum of Natural History|n. 美国自然历史博物馆
natural history museum|phrase. 自然历史博物馆
no flash|phrase. 请勿使用闪光灯；禁止闪光灯
on display|phrase. 陈列；展览
painting|n. 绘画；油画；v. 刷油漆；用颜料画；“paint”的现在分词
The Palace Museum|n. 故宫博物馆
precious|adj. 珍贵的；宝贵的
pterosaur|n. 翼龙
security camera|phrase. 监控摄像头
security system|phrase. 保安系统；安防系统
science museum|phrase. 科学博物馆
sculpture|n. 雕刻（术）；雕塑品；雕刻品；v. 雕塑；刻蚀
showpiece|n. 展品；样品；陈列品；典范
ticket counter|phrase. 售票柜台；售票处
tyrannosaurus|n. 暴龙
unearthly|adj. 非尘世的；怪异的；可怕的；时间过早或不便的
with access all day|phrase. 全天开放
vertical|adj. 竖的；垂直的
attempt|n. 企图；试图；v. 企图；试图
try|n. 尝试；试图；v. 尝试；试图；努力
address|n. 地址；网址；演说；v. 写上地址；向…讲话；解决
undoubted|adj. 无疑的；确实的；千真万确的
undoubtedly|adv. 无疑地
face|n. 脸；v. 面对
produce|v. 生产；生育；制造；出示；导致；引起；n. 农产品
generate|v. 产生；引起；发（热、电）
manufacture|v. （用机器大量）制造；虚构；捏造；n. 制造
barley|n. 大麦；大麦粒
beet|n. 甜菜；甜菜根
bland|adj. 温和的；和蔼的；淡味的；乏味的
broccoli|n. 花椰菜；西兰花
butter|n. 黄油；奶油；v. 涂黄油于...上
cabbage|n. 卷心菜
carrot|n. 胡萝卜
celery|n. 芹菜
cereal|n. 谷物；谷类食品；麦片
chop|v. 砍；劈；剁；n. 砍；剁；排骨
coarse cereal|phrase. 杂粮
corn|n. 玉米；谷物
crop|n. 农作物；收成；v. 修剪；种植；收割
cucumber|n. 黄瓜
cuisine|n. 烹饪；菜肴；烹调风格
dry farmland|phrase. 旱作农田
edible|adj. 可食用的；可以吃的
farm|n. 农场；农庄；v. 耕种；务农
foodstuff|n. 食品；粮食
grain|n. 谷物；颗粒
highland barley|phrase. 青稞
inedible|adj. 不能吃的；不宜食用的
irrigated land|phrase. 灌溉耕地
leek|n. 韭葱；扁葱
lettuce|n. 生菜；莴苣
millet|n. 小米；粟
mustard|n. 芥末；芥末酱
oat|n. 燕麦
onion|n. 洋葱
pea|n. 豌豆
peanut|n. 花生
pepper|n. 胡椒粉；辣椒；v. 使布满；向…不断射击
planting industry|phrase. 种植业
potato|n. 土豆；马铃薯
pumpkin|n. 南瓜
radish|n. 小萝卜
rice|n. 米饭
rotation|n. 旋转；循环
rye|n. 黑麦；裸麦；裸麦粒；裸麦威士忌酒；adj. 用黑麦制成的
sesame|n. 芝麻
soybean|n. 大豆
spinach|n. 菠菜
sugarcane|n. 甘蔗
tea|n. 茶；茶叶；茶水
tomato|n. 西红柿；番茄
wheat|n. 小麦；小麦色
disorient|v. 使迷失方向；使迷惘
entry|n. 进入；参与；参赛作品；条目；入口
entrance|n. 入口；进入；到场；v. 使出神；使入迷
access|n. 进入；通道；接触（的机会或权利）；v. 接近；使用；获取
exit|n. 出口；v. 退出；离去
forth|adv. 向前；向外；露出
frontal|adj. 前部的；正面的
horizon|n. 地平线；（思想等的）范围；眼界
lateral|adj. 侧面的；横向的
lateralize|v. （大脑）表现偏侧性
bilateral|adj. 两边的；双方的
oriental|adj. 东方的（尤指中国和日本）
orientation|n. 方向；定位；取向；岗前训练；入学介绍
outlet|n. 出口；发泄途径；经销店；折扣店
overhead|adv. 在头顶上；在空中；adj. 在头顶上的；在空中的
verge|n. 边缘；边界；v. 濒临；接近
zenith|n. 顶点；天顶；全盛
hollow|adj. 中空的；空洞的
container|n. 容器；集装箱
contain|v. 包含；容纳；克制；遏制
cover|v. 遮盖；包括；报道；n. 封面；遮盖物；庇护所
core|n. 核；核心；重点；v. 去（果）核
layer|n. 层；层次
molten|adj. 熔化的；熔解的
bubble|n. 气泡；沸腾；泡影；空想；v. （使）冒气泡；洋溢着
configuration|n. 结构；布局；配置；外形
detach|v. 脱离；拆卸；分离
ditch|n. 沟；渠；v. 开沟于；把…开入沟里；摆脱；抛弃；紧急降落
embed|v. （使）插入；（使）嵌入
emboss|v. 加浮雕花纹于；饰以浮饰；使凸出
gel|n. 凝胶体；定型发胶；v. 形成胶体；联手共事
harden|v. 使坚强；使坚硬
lapping|n. 研磨；轻拍；v. 舔食
lubricant|n. 润滑剂
lubricate|v. 润滑；加润滑油于
meld|v. （使）合并；（使）融合；（使）混合；n. 合并；混合
mosaic|n. 马赛克；镶嵌图案；v. 镶嵌；用马赛克装饰
mould|n. 霉；模具；v. 发霉；铸造
nugget|n. 天然贵重金属块；小圆块食物；（鸡）块；有用信息
perforate|v. 穿孔；打孔
refine|v. 精炼；改进
seam|n. 接缝；缝合处；矿层；煤层；v. 缝合；有裂痕
smelt|v. 熔炼；冶炼；v. 嗅；闻；散发气味；察觉；“smell”的过去式和过去分词；n. 胡瓜鱼
spark|n. 火花；火星；v. 触发；冒火花；闪光；激发
tinker|n. 补锅匠；v. 小修；小补；摆弄
weld|v. 焊接；n. 焊接
assemble|v. 装配；集合
assembly|n. 装配；集会；会议
behave|v. 表现；举止
conserve|v. 保藏；保护；保存；节约；n. 蜜饯；果酱
conservative|adj. 保守的；守旧的；n. 守旧派；保守主义者
